centroid,log(zero_cross),type
4131.118275517487,-4.374258445027371,kick
1001.496486139396,-5.521660897864913,kick
2188.96998484073,-5.952443813957367,kick
4176.380044709008,-4.779723553135535,kick
3834.626655701433,-6.1194978986205335,kick
1209.8876131671127,-4.906475258774679,kick
560.8167824300654,-5.744804449179123,kick
350.333456003221,-6.214808078424858,kick
1705.0986248923875,-4.374258445027371,kick
5778.7814755199,-4.547101257866782,kick
557.4447266443364,-6.571483022363591,kick
412.876468461758,-5.298517346550703,kick
2366.518497865935,-5.298517346550703,kick
2095.2229070504363,-5.1851886612437,kick
2810.9737221246005,-5.684179827362688,kick
165.22327871212642,-6.320168594082684,kick
1651.5562116105286,-5.0208856099524235,kick
857.3820488268002,-5.521660897864913,kick
2896.5593276043573,-3.318896140153078,kick
1949.4875398507625,-4.853831525289257,kick
3760.133518512347,-4.312700552027938,kick
1248.271316916026,-6.571483022363591,kick
2493.831388396619,-5.083405966933758,kick
3536.9244197826774,-5.259296633397422,kick
694.3577985912846,-5.426350718060588,kick
2862.6084233643405,-4.991032646802743,kick
11441.128124113191,-1.1106824412412633,kick
777.885530985482,-6.214808078424858,kick
1750.1668585644989,-4.199905057882593,kick
2999.5363002335826,-4.358510088059232,kick
2087.52116712152,-6.1194978986205335,kick
677.4702159574283,-5.684179827362688,kick
2490.795248184289,-5.472870733695481,kick
1632.3561924102803,-4.8285137173049675,kick
672.4385555497427,-5.878335841803645,kick
3817.3565296760166,-4.991032646802743,kick
3149.6235153869925,-3.9956045943698633,kick
1660.296364579544,-6.320168594082684,kick
1331.9645023144851,-4.297885466242797,kick
712.2524484133189,-6.320168594082684,kick
6881.344337627155,-3.8730022722775312,kick
507.7581764263632,-5.809342970316694,kick
4697.739573926511,-5.051657268619177,kick
2098.6238670010257,-5.116195789756748,kick
342.3627055529369,-5.472870733695481,kick
4310.062805498326,-5.809342970316694,kick
1386.911444279517,-6.571483022363591,kick
4305.662349072294,-5.878335841803645,kick
4076.8435846660454,-5.684179827362688,kick
3127.7069648087395,-5.1851886612437,kick
3865.618721318787,-6.1194978986205335,kick
1116.9484824882732,-5.051657268619177,kick
5648.860174301082,-3.275646156359261,kick
3745.8666709387585,-4.803821104714596,kick
1274.377872003077,-5.15009734143243,kick
796.398716652597,-4.226933730270512,kick
2160.9759171470732,-5.952443813957367,kick
1874.9087397025369,-6.320168594082684,kick
2183.8590703972036,-5.15009734143243,kick
3684.53437425422,-5.051657268619177,kick
4991.359868806144,-5.0208856099524235,kick
274.1091057519003,-6.214808078424858,kick
2360.5825406454514,-4.2832866668216445,kick
5133.942715778023,-4.991032646802743,kick
800.4894298300879,-5.809342970316694,kick
2960.161888620876,-4.688751774929808,kick
2132.1778451078235,-5.809342970316694,kick
3723.135055072123,-4.733203537500643,kick
5713.09158875445,-4.547101257866782,kick
1137.9200721648783,-5.339339341070958,kick
4042.3145951609977,-5.426350718060588,kick
441.8647965443746,-5.952443813957367,kick
5835.322332315809,-4.226933730270512,kick
319.10845302446376,-6.214808078424858,kick
5539.260180235751,-3.5337865497105674,kick
754.4108810704313,-5.878335841803645,kick
4414.9130085268225,-6.214808078424858,kick
1461.426738513127,-5.627021413522739,kick
5411.25400030935,-4.803821104714596,kick
169.61451852024987,-6.1194978986205335,kick
331.58564159430955,-6.214808078424858,kick
960.8876725341081,-5.627021413522739,kick
1549.9025214736316,-6.437951629739068,kick
245.74928088374773,-6.437951629739068,kick
170.89620731365207,-7.824245990858959,kick
4604.969028741945,-4.110673924154651,kick
991.5337110986272,-4.605370165990758,kick
1289.0541493267117,-5.381898955489754,kick
2244.1147207125664,-4.803821104714596,kick
2130.222296812473,-5.684179827362688,kick
1779.8097722139166,-4.4920414806837545,kick
